Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Memory usage
Laravel demo app	25	25	100	PHP 8.1	a87ccc7ca2644e327c210e68b4d98df98ad33523	https://github.com/php/php-src/commit/a87ccc7ca2644e327c210e68b4d98df98ad33523	0.42279	0.42435	0.00043	0.42339	0.00	0.42336	0.00	39.35
Laravel demo app	25	25	100	PHP 8.2	686afc10bfe2fad59c8b552f60d34441e7e67d18	https://github.com/php/php-src/commit/686afc10bfe2fad59c8b552f60d34441e7e67d18	0.41723	0.41841	0.00033	0.41782	-1.32	0.41776	-1.32	39.69
Laravel demo app	25	25	100	PHP 8.3	04418ede7a9fab4358b5d2677621fc7fc22a0aab	https://github.com/php/php-src/commit/04418ede7a9fab4358b5d2677621fc7fc22a0aab	0.41123	0.41959	0.00144	0.41797	-1.28	0.41816	-1.23	39.11
Laravel demo app	25	25	100	PHP 8.4	338be9dd9c9be823ac3837ab28b11667ba9e33eb	https://github.com/php/php-src/commit/338be9dd9c9be823ac3837ab28b11667ba9e33eb	0.43044	0.43259	0.00044	0.43132	1.87	0.43120	1.85	40.52
Laravel demo app	25	25	100	PHP 8.4 (JIT)	678a481f62db7776156bc69eaa87aaf2ec9e6673	https://github.com/php/php-src/commit/678a481f62db7776156bc69eaa87aaf2ec9e6673	0.43027	0.43218	0.00046	0.43108	1.82	0.43107	1.82	40.52
Symfony demo app	25	25	100	PHP 8.1	a87ccc7ca2644e327c210e68b4d98df98ad33523	https://github.com/php/php-src/commit/a87ccc7ca2644e327c210e68b4d98df98ad33523	0.19917	0.20050	0.00028	0.19982	0.00	0.19980	0.00	32.91
Symfony demo app	25	25	100	PHP 8.2	686afc10bfe2fad59c8b552f60d34441e7e67d18	https://github.com/php/php-src/commit/686afc10bfe2fad59c8b552f60d34441e7e67d18	0.19535	0.21810	0.00434	0.19687	-1.48	0.19597	-1.92	33.30
Symfony demo app	25	25	100	PHP 8.3	04418ede7a9fab4358b5d2677621fc7fc22a0aab	https://github.com/php/php-src/commit/04418ede7a9fab4358b5d2677621fc7fc22a0aab	0.19643	0.25722	0.01180	0.19945	-0.18	0.19704	-1.39	33.32
Symfony demo app	25	25	100	PHP 8.4	338be9dd9c9be823ac3837ab28b11667ba9e33eb	https://github.com/php/php-src/commit/338be9dd9c9be823ac3837ab28b11667ba9e33eb	0.19829	0.25703	0.01139	0.20127	0.73	0.19889	-0.46	34.01
Symfony demo app	25	25	100	PHP 8.4 (JIT)	678a481f62db7776156bc69eaa87aaf2ec9e6673	https://github.com/php/php-src/commit/678a481f62db7776156bc69eaa87aaf2ec9e6673	0.19815	0.19996	0.00038	0.19873	-0.54	0.19874	-0.53	34.26
